ID,Area,City,Restaurant,Cuisine,Price,Avg ratings,Total ratings,Address,Delivery time
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,Steakhouse,1200,4.2,100,Sri Ram Nagar Colony Banjara Hills,69
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,American,1200,4.2,100,Sri Ram Nagar Colony Banjara Hills,69
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,North Indian,500,4.1,100,S P Road,66
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,South Indian,500,4.1,100,S P Road,66
2348,Kalasiguda,Hyderabad,Bluefox,Biryani,800,4.2,1000,Sd Road,68
2348,Kalasiguda,Hyderabad,Bluefox,North Indian,800,4.2,1000,Sd Road,68
2348,Kalasiguda,Hyderabad,Bluefox,Chinese,800,4.2,1000,Sd Road,68
2348,Kalasiguda,Hyderabad,Bluefox,Tandoor,800,4.2,1000,Sd Road,68
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,North Indian,300,4.2,1000,Sd Road,57
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,Chinese,300,4.2,1000,Sd Road,57
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,Desserts,300,4.2,1000,Sd Road,57
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,Continental,300,4.2,1000,Sd Road,57
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,South Indian,300,4.2,1000,Sd Road,57
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,Ice Cream,600,4.2,500,New Mla Quarters,37
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,Beverages,600,4.2,500,New Mla Quarters,37
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,Desserts,600,4.2,500,New Mla Quarters,37
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,Chaat,600,4.2,500,New Mla Quarters,37
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,Italian,600,4.2,500,New Mla Quarters,37
2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,Chinese,500,4,1000,New Mla Quarters,39
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,South Indian,500,4.3,1000,Himayath Nagar Road,30
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,North Indian,500,4.3,1000,Himayath Nagar Road,30
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,Chinese,500,4.3,1000,Himayath Nagar Road,30
2796,Himayatnagar,Hyderabad,Bluefox,Biryani,800,4.1,1000,Himayath Nagar Road,36
2796,Himayatnagar,Hyderabad,Bluefox,North Indian,800,4.1,1000,Himayath Nagar Road,36
2796,Himayatnagar,Hyderabad,Bluefox,Chinese,800,4.1,1000,Himayath Nagar Road,36
2796,Himayatnagar,Hyderabad,Bluefox,Tandoor,800,4.1,1000,Himayath Nagar Road,36
3324,Punjagutta,Hyderabad,Srikanya,Andhra,250,4.1,1000,Punjagutta Road,56
3324,Punjagutta,Hyderabad,Srikanya,Seafood,250,4.1,1000,Punjagutta Road,56
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,Sweets,150,4.2,500,Road No 2,65
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,Bakery,150,4.2,500,Road No 2,65
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,Desserts,150,4.2,500,Road No 2,65
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,Fast Food,150,4.2,500,Road No 2,65
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,Street Food,150,4.2,500,Road No 2,65
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,Chaat,150,4.2,500,Road No 2,65
3914,Karkhana,Hyderabad,Oh So Stoned,Ice Cream,300,3.9,100,Vikrampuri Colony,68
3914,Karkhana,Hyderabad,Oh So Stoned,Desserts,300,3.9,100,Vikrampuri Colony,68
4138,Koti,Hyderabad,Grand Hotel,Biryani,300,4.1,10000,Abids Road,24
4138,Koti,Hyderabad,Grand Hotel,Tandoor,300,4.1,10000,Abids Road,24
4138,Koti,Hyderabad,Grand Hotel,Chinese,300,4.1,10000,Abids Road,24
4138,Koti,Hyderabad,Grand Hotel,Indian,300,4.1,10000,Abids Road,24
4138,Koti,Hyderabad,Grand Hotel,Kebabs,300,4.1,10000,Abids Road,24
4138,Koti,Hyderabad,Grand Hotel,Desserts,300,4.1,10000,Abids Road,24
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,Chinese,250,3.7,500,Dilsukhnagar Main Road,39
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,Italian,250,3.7,500,Dilsukhnagar Main Road,39
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,Desserts,250,3.7,500,Dilsukhnagar Main Road,39
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,Bakery,250,3.7,500,Dilsukhnagar Main Road,39
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,Fast Food,250,3.7,500,Dilsukhnagar Main Road,39
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,Biryani,300,3.9,1000,Alkapuri X Roads,67
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,Chinese,300,3.9,1000,Alkapuri X Roads,67
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,South Indian,300,3.9,1000,Alkapuri X Roads,67
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,North Indian,300,3.9,1000,Alkapuri X Roads,67
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,Tandoor,300,3.9,1000,Alkapuri X Roads,67
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,Biryani,300,3.8,1000,L B Nagar,70
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,Chinese,300,3.8,1000,L B Nagar,70
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,South Indian,300,3.8,1000,L B Nagar,70
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,North Indian,300,3.8,1000,L B Nagar,70
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,Tandoor,300,3.8,1000,L B Nagar,70
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,Biryani,300,3.8,100,Lakshmi Nagar Colony,52
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,Chinese,300,3.8,100,Lakshmi Nagar Colony,52
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,North Indian,300,3.8,100,Lakshmi Nagar Colony,52
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,South Indian,300,3.8,100,Lakshmi Nagar Colony,52
4320,Narayanguda,Hyderabad,Mehfil,Biryani,300,3.9,10000,Narayanguda,25
4320,Narayanguda,Hyderabad,Mehfil,Tandoor,300,3.9,10000,Narayanguda,25
4320,Narayanguda,Hyderabad,Mehfil,Chinese,300,3.9,10000,Narayanguda,25
4320,Narayanguda,Hyderabad,Mehfil,Indian,300,3.9,10000,Narayanguda,25
4320,Narayanguda,Hyderabad,Mehfil,Kebabs,300,3.9,10000,Narayanguda,25
4320,Narayanguda,Hyderabad,Mehfil,Desserts,300,3.9,10000,Narayanguda,25
4614,Himayatnagar,Hyderabad,Crystal Restaurant,Biryani,350,3.9,1000,Rtc X Roads,34
4614,Himayatnagar,Hyderabad,Crystal Restaurant,North Indian,350,3.9,1000,Rtc X Roads,34
4614,Himayatnagar,Hyderabad,Crystal Restaurant,Chinese,350,3.9,1000,Rtc X Roads,34
4650,New Nallakunta,Hyderabad,Bawarchi,Biryani,300,3.9,10000,Rtc X Roads,27
4650,New Nallakunta,Hyderabad,Bawarchi,Tandoor,300,3.9,10000,Rtc X Roads,27
4650,New Nallakunta,Hyderabad,Bawarchi,Chinese,300,3.9,10000,Rtc X Roads,27
4650,New Nallakunta,Hyderabad,Bawarchi,Indian,300,3.9,10000,Rtc X Roads,27
4650,New Nallakunta,Hyderabad,Bawarchi,Desserts,300,3.9,10000,Rtc X Roads,27
4650,New Nallakunta,Hyderabad,Bawarchi,Kebabs,300,3.9,10000,Rtc X Roads,27
4650,New Nallakunta,Hyderabad,Bawarchi,Mughlai,300,3.9,10000,Rtc X Roads,27
4774,Adikmet,Hyderabad,Us Pizza,Italian,200,3.2,20,O.U Road,48
4774,Adikmet,Hyderabad,Us Pizza,Pizzas,200,3.2,20,O.U Road,48
4774,Adikmet,Hyderabad,Us Pizza,Fast Food,200,3.2,20,O.U Road,48
4774,Adikmet,Hyderabad,Us Pizza,Beverages,200,3.2,20,O.U Road,48
4774,Adikmet,Hyderabad,Us Pizza,Desserts,200,3.2,20,O.U Road,48
4776,Amberpet,Hyderabad,Surabhi Grand,Mughlai,300,4,500,Tilaknagar,45
4776,Amberpet,Hyderabad,Surabhi Grand,North Indian,300,4,500,Tilaknagar,45
4776,Amberpet,Hyderabad,Surabhi Grand,Chinese,300,4,500,Tilaknagar,45
4776,Amberpet,Hyderabad,Surabhi Grand,Seafood,300,4,500,Tilaknagar,45
4781,Himayatnagar,Hyderabad,Bluedragon By Mandilicious,Chinese,300,4.2,20,Himayathnagar,34
4783,Adikmet,Hyderabad,Frosty Den,Ice Cream,200,2.2,20,O.U Road,43
4783,Adikmet,Hyderabad,Frosty Den,Pizzas,200,2.2,20,O.U Road,43
4783,Adikmet,Hyderabad,Frosty Den,Fast Food,200,2.2,20,O.U Road,43
4783,Adikmet,Hyderabad,Frosty Den,Beverages,200,2.2,20,O.U Road,43
4783,Adikmet,Hyderabad,Frosty Den,Desserts,200,2.2,20,O.U Road,43
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,Biryani,300,3.6,100,Road No 12,62
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,Chinese,300,3.6,100,Road No 12,62
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,South Indian,300,3.6,100,Road No 12,62
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,North Indian,300,3.6,100,Road No 12,62
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,Tandoor,300,3.6,100,Road No 12,62
5285,Lakdikapul,Hyderabad,Chicha'S,Biryani,200,3.8,500,P & T Officers Colony,40
5285,Lakdikapul,Hyderabad,Chicha'S,Hyderabadi,200,3.8,500,P & T Officers Colony,40
5285,Lakdikapul,Hyderabad,Chicha'S,Indian,200,3.8,500,P & T Officers Colony,40
5285,Lakdikapul,Hyderabad,Chicha'S,Street Food,200,3.8,500,P & T Officers Colony,40
5538,Kothapet,Hyderabad,Kinara Grand,North Indian,750,3.9,1000,Ashta Laxmi Temple,58
5538,Kothapet,Hyderabad,Kinara Grand,Chinese,750,3.9,1000,Ashta Laxmi Temple,58
5538,Kothapet,Hyderabad,Kinara Grand,Biryani,750,3.9,1000,Ashta Laxmi Temple,58
5862,Basheer Bagh,Hyderabad,Meghacity,North Indian,500,4.4,1000,Basheerbagh X Road,32
5862,Basheer Bagh,Hyderabad,Meghacity,Chinese,500,4.4,1000,Basheerbagh X Road,32
6577,Punjagutta,Hyderabad,Zyqa Restaurant,North Indian,200,4,500,Punjagutta,55
6577,Punjagutta,Hyderabad,Zyqa Restaurant,Biryani,200,4,500,Punjagutta,55
6577,Punjagutta,Hyderabad,Zyqa Restaurant,Chinese,200,4,500,Punjagutta,55
6585,Himayatnagar,Hyderabad,Sahara Bakers,Bakery,200,3.8,500,Chikadpally,34
6585,Himayatnagar,Hyderabad,Sahara Bakers,Pizzas,200,3.8,500,Chikadpally,34
6745,Koti,Hyderabad,Tibbs Frankie,Snacks,150,4.3,100,Hanuman Tekdi Road,29
6851,Abids,Hyderabad,Agrawala Sweets,Sweets,250,4.3,100,Jn Road,27
6851,Abids,Hyderabad,Agrawala Sweets,Fast Food,250,4.3,100,Jn Road,27
7002,Himayatnagar,Hyderabad,Angaara,Indian,250,3.9,100,Street 4,33
7002,Himayatnagar,Hyderabad,Angaara,Chinese,250,3.9,100,Street 4,33
7002,Himayatnagar,Hyderabad,Angaara,Tandoor,250,3.9,100,Street 4,33
7412,Khairtabad,Hyderabad,Paradise Biryani,Biryani,400,3.9,100,Imax Road,48
7412,Khairtabad,Hyderabad,Paradise Biryani,North Indian,400,3.9,100,Imax Road,48
7412,Khairtabad,Hyderabad,Paradise Biryani,Chinese,400,3.9,100,Imax Road,48
8093,Punjagutta,Hyderabad,Akson Restaurant,North Indian,250,4.3,1000,Panjagutta Road,53
8093,Punjagutta,Hyderabad,Akson Restaurant,Biryani,250,4.3,1000,Panjagutta Road,53
8093,Punjagutta,Hyderabad,Akson Restaurant,Kerala,250,4.3,1000,Panjagutta Road,53
8205,Habsiguda,Hyderabad,Taste Of India,North Indian,600,4.2,20,Habsiguda Main Road,67
8205,Habsiguda,Hyderabad,Taste Of India,Chinese,600,4.2,20,Habsiguda Main Road,67
8205,Habsiguda,Hyderabad,Taste Of India,Continental,600,4.2,20,Habsiguda Main Road,67
8213,Uppal,Hyderabad,Crunchy'S,Italian,150,3.8,20,Uppal Ring Road,72
8213,Uppal,Hyderabad,Crunchy'S,American,150,3.8,20,Uppal Ring Road,72
8688,Punjagutta,Hyderabad,Friends Shawarma,Lebanese,200,4.3,100,Road No 3,61
9014,West Marredpally,Hyderabad,Triple A Bakery,Italian,100,3.9,100,West Marredpally Road,70
9014,West Marredpally,Hyderabad,Triple A Bakery,Bakery,100,3.9,100,West Marredpally Road,70
9292,Murad Nagar,Hyderabad,Food Zone 2,Mughlai,300,4,500,Guddimmalkapur Road,46
9292,Murad Nagar,Hyderabad,Food Zone 2,Chinese,300,4,500,Guddimmalkapur Road,46
9292,Murad Nagar,Hyderabad,Food Zone 2,Tandoor,300,4,500,Guddimmalkapur Road,46
9304,Redhills,Hyderabad,Rayalaseema Ruchulu,South Indian,450,4,500,Lakdikapul,39
9304,Redhills,Hyderabad,Rayalaseema Ruchulu,Biryani,450,4,500,Lakdikapul,39
9304,Redhills,Hyderabad,Rayalaseema Ruchulu,Rayalaseema,450,4,500,Lakdikapul,39
10062,Somajiguda,Hyderabad,Kritunga Restaurant,Biryani,500,4,1000,Somajiguda,52
10062,Somajiguda,Hyderabad,Kritunga Restaurant,Andhra,500,4,1000,Somajiguda,52
10062,Somajiguda,Hyderabad,Kritunga Restaurant,Rayalaseema,500,4,1000,Somajiguda,52
10062,Somajiguda,Hyderabad,Kritunga Restaurant,South Indian,500,4,1000,Somajiguda,52
10062,Somajiguda,Hyderabad,Kritunga Restaurant,North Indian,500,4,1000,Somajiguda,52
10062,Somajiguda,Hyderabad,Kritunga Restaurant,Chinese,500,4,1000,Somajiguda,52
10085,Murad Nagar,Hyderabad,Bakers Street,Bakery,250,4.2,500,Gudimalkatur Road,49
10085,Murad Nagar,Hyderabad,Bakers Street,Continental,250,4.2,500,Gudimalkatur Road,49
10475,Kachiguda,Hyderabad,Urban Munchies,Ice Cream,150,2.9,80,Adikmet Vidyanagar,42
10475,Kachiguda,Hyderabad,Urban Munchies,Desserts,150,2.9,80,Adikmet Vidyanagar,42
10730,Banjara Hills,Hyderabad,Radisson Blu Plaza Delivery,Chinese,1200,3.7,20,Road No 6,82
10730,Banjara Hills,Hyderabad,Radisson Blu Plaza Delivery,Biryani,1200,3.7,20,Road No 6,82
10730,Banjara Hills,Hyderabad,Radisson Blu Plaza Delivery,North Indian,1200,3.7,20,Road No 6,82
10750,Lakdikapul,Hyderabad,Shahji Ka Dhaba,North Indian,400,4.3,100,Veer Nagar,44
10750,Lakdikapul,Hyderabad,Shahji Ka Dhaba,Chinese,400,4.3,100,Veer Nagar,44
11092,Banjara Hills,Hyderabad,Karachi Bakery Banjara,Bakery,200,4.1,1000,Road No 1,56
11092,Banjara Hills,Hyderabad,Karachi Bakery Banjara,Pizzas,200,4.1,1000,Road No 1,56
11092,Banjara Hills,Hyderabad,Karachi Bakery Banjara,Snacks,200,4.1,1000,Road No 1,56
11092,Banjara Hills,Hyderabad,Karachi Bakery Banjara,Chinese,200,4.1,1000,Road No 1,56
11092,Banjara Hills,Hyderabad,Karachi Bakery Banjara,Italian,200,4.1,1000,Road No 1,56
11092,Banjara Hills,Hyderabad,Karachi Bakery Banjara,American,200,4.1,1000,Road No 1,56
11092,Banjara Hills,Hyderabad,Karachi Bakery Banjara,Sweets,200,4.1,1000,Road No 1,56
11092,Banjara Hills,Hyderabad,Karachi Bakery Banjara,Desserts,200,4.1,1000,Road No 1,56
11092,Banjara Hills,Hyderabad,Karachi Bakery Banjara,Beverages,200,4.1,1000,Road No 1,56
11162,Dilsukhnagar,Hyderabad,Desi Pizza,Pizzas,200,3.9,20,P And T Colony Road,50
11553,Habsiguda,Hyderabad,Suruchi - The Family Restaurant,Biryani,500,4.2,500,Habsiguda Circle,58
11553,Habsiguda,Hyderabad,Suruchi - The Family Restaurant,North Indian,500,4.2,500,Habsiguda Circle,58
11553,Habsiguda,Hyderabad,Suruchi - The Family Restaurant,Chinese,500,4.2,500,Habsiguda Circle,58
12046,Himayatnagar,Hyderabad,Subway,Fast Food,350,4.3,500,Himayath Nagar Road,33
12046,Himayatnagar,Hyderabad,Subway,Salads,350,4.3,500,Himayath Nagar Road,33
12046,Himayatnagar,Hyderabad,Subway,Snacks,350,4.3,500,Himayath Nagar Road,33
12046,Himayatnagar,Hyderabad,Subway,Desserts,350,4.3,500,Himayath Nagar Road,33
12046,Himayatnagar,Hyderabad,Subway,Beverages,350,4.3,500,Himayath Nagar Road,33
13179,Kothapet,Hyderabad,Kritunga Restaurant,Biryani,500,4,1000,Dilsukhnagar Main Road,49
13179,Kothapet,Hyderabad,Kritunga Restaurant,Andhra,500,4,1000,Dilsukhnagar Main Road,49
13179,Kothapet,Hyderabad,Kritunga Restaurant,Rayalaseema,500,4,1000,Dilsukhnagar Main Road,49
13179,Kothapet,Hyderabad,Kritunga Restaurant,South Indian,500,4,1000,Dilsukhnagar Main Road,49
13179,Kothapet,Hyderabad,Kritunga Restaurant,North Indian,500,4,1000,Dilsukhnagar Main Road,49
13179,Kothapet,Hyderabad,Kritunga Restaurant,Chinese,500,4,1000,Dilsukhnagar Main Road,49
13434,Masab Tank,Hyderabad,Cafe 555 & Aqeeq Restaurant,Biryani,300,3.9,5000,Owaisi Pura,46
13434,Masab Tank,Hyderabad,Cafe 555 & Aqeeq Restaurant,North Indian,300,3.9,5000,Owaisi Pura,46
13434,Masab Tank,Hyderabad,Cafe 555 & Aqeeq Restaurant,Chinese,300,3.9,5000,Owaisi Pura,46
13552,Banjara Hills,Hyderabad,Shadab Go,North Indian,500,4.1,1000,Road No 3,68
13552,Banjara Hills,Hyderabad,Shadab Go,Biryani,500,4.1,1000,Road No 3,68
13552,Banjara Hills,Hyderabad,Shadab Go,Chinese,500,4.1,1000,Road No 3,68
13940,Himayatnagar,Hyderabad,Eagles Pizza,Pizzas,150,3.7,500,Himayathnagar Road,32
14894,Madhura Nagar,Hyderabad,Rk Sweets And Juices,Sweets,200,4.2,50,Madhuranagar,63
14894,Madhura Nagar,Hyderabad,Rk Sweets And Juices,Desserts,200,4.2,50,Madhuranagar,63
14894,Madhura Nagar,Hyderabad,Rk Sweets And Juices,Bakery,200,4.2,50,Madhuranagar,63
14894,Madhura Nagar,Hyderabad,Rk Sweets And Juices,Beverages,200,4.2,50,Madhuranagar,63
16022,New Nallakunta,Hyderabad,New Astoria Restaurant,Chinese,450,3.8,100,Rtc Cross Road,34
16022,New Nallakunta,Hyderabad,New Astoria Restaurant,Biryani,450,3.8,100,Rtc Cross Road,34
16394,Banjara Hills,Hyderabad,Exotica,Indian,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Chinese,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,North Indian,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Punjabi,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Tandoor,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Kebabs,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Biryani,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Seafood,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Oriental,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Desserts,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Sweets,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Beverages,1000,4.5,500,Nbt Nagar,65
16394,Banjara Hills,Hyderabad,Exotica,Combo,1000,4.5,500,Nbt Nagar,65
16577,Habsiguda,Hyderabad,Blr Food Kourt,Biryani,250,4.1,20,Vasanth Vihar Colony,63
16577,Habsiguda,Hyderabad,Blr Food Kourt,Chinese,250,4.1,20,Vasanth Vihar Colony,63
16577,Habsiguda,Hyderabad,Blr Food Kourt,North Indian,250,4.1,20,Vasanth Vihar Colony,63
16770,Koti,Hyderabad,Palace Heights,North Indian,1700,3.8,50,Palace Heights Lane,44
16770,Koti,Hyderabad,Palace Heights,Chinese,1700,3.8,50,Palace Heights Lane,44
16770,Koti,Hyderabad,Palace Heights,Biryani,1700,3.8,50,Palace Heights Lane,44
16770,Koti,Hyderabad,Palace Heights,Continental,1700,3.8,50,Palace Heights Lane,44
16770,Koti,Hyderabad,Palace Heights,Mughlai,1700,3.8,50,Palace Heights Lane,44
17182,Nagole,Hyderabad,Amaravathi Family Restaurant,Indian,500,4.1,500,Nagole Road,69
17182,Nagole,Hyderabad,Amaravathi Family Restaurant,Chinese,500,4.1,500,Nagole Road,69
17182,Nagole,Hyderabad,Amaravathi Family Restaurant,Tandoor,500,4.1,500,Nagole Road,69
17183,Kothapet,Hyderabad,Spicy Hub,North Indian,500,4,1000,Kothapet - R.K Puram Road,51
17183,Kothapet,Hyderabad,Spicy Hub,Chinese,500,4,1000,Kothapet - R.K Puram Road,51
17345,Huda Complex,Hyderabad,Papadams Blue,Biryani,500,3.9,1000,Kothapet Cross Road,53
17345,Huda Complex,Hyderabad,Papadams Blue,Chinese,500,3.9,1000,Kothapet Cross Road,53
17345,Huda Complex,Hyderabad,Papadams Blue,Andhra,500,3.9,1000,Kothapet Cross Road,53
17345,Huda Complex,Hyderabad,Papadams Blue,North Indian,500,3.9,1000,Kothapet Cross Road,53
17345,Huda Complex,Hyderabad,Papadams Blue,South Indian,500,3.9,1000,Kothapet Cross Road,53
17345,Huda Complex,Hyderabad,Papadams Blue,Tandoor,500,3.9,1000,Kothapet Cross Road,53
17346,Huda Complex,Hyderabad,Papadams Restaurant,Biryani,500,3.8,1000,Kothapet Road,54
17346,Huda Complex,Hyderabad,Papadams Restaurant,Chinese,500,3.8,1000,Kothapet Road,54
17346,Huda Complex,Hyderabad,Papadams Restaurant,Andhra,500,3.8,1000,Kothapet Road,54
17346,Huda Complex,Hyderabad,Papadams Restaurant,North Indian,500,3.8,1000,Kothapet Road,54
17346,Huda Complex,Hyderabad,Papadams Restaurant,South Indian,500,3.8,1000,Kothapet Road,54
17346,Huda Complex,Hyderabad,Papadams Restaurant,Tandoor,500,3.8,1000,Kothapet Road,54
18007,Kachiguda,Hyderabad,Cafe Coffee Day,Beverages,300,4.5,20,Kachiguda Railway Station,36
18007,Kachiguda,Hyderabad,Cafe Coffee Day,Snacks,300,4.5,20,Kachiguda Railway Station,36
18007,Kachiguda,Hyderabad,Cafe Coffee Day,Desserts,300,4.5,20,Kachiguda Railway Station,36
18012,Basheer Bagh,Hyderabad,Cafe Coffee Day,Beverages,300,4.1,100,Sri Siva Rama Towers,40
18012,Basheer Bagh,Hyderabad,Cafe Coffee Day,Snacks,300,4.1,100,Sri Siva Rama Towers,40
18012,Basheer Bagh,Hyderabad,Cafe Coffee Day,Desserts,300,4.1,100,Sri Siva Rama Towers,40
21630,Dilsukhnagar,Hyderabad,The Shawarma'S,Lebanese,200,4.1,50,P And T Colony,47
21633,Dilsukhnagar,Hyderabad,A-1 Chicken Pakoda,Biryani,250,4.1,500,Shalivahana Nagar,41
21633,Dilsukhnagar,Hyderabad,A-1 Chicken Pakoda,Chinese,250,4.1,500,Shalivahana Nagar,41
21633,Dilsukhnagar,Hyderabad,A-1 Chicken Pakoda,Mughlai,250,4.1,500,Shalivahana Nagar,41
21966,Somajiguda,Hyderabad,Verandah-The Park Hyderabad,Indian,550,4,50,Raj Bhavan Road,58
21966,Somajiguda,Hyderabad,Verandah-The Park Hyderabad,Chinese,550,4,50,Raj Bhavan Road,58
21966,Somajiguda,Hyderabad,Verandah-The Park Hyderabad,Biryani,550,4,50,Raj Bhavan Road,58
21966,Somajiguda,Hyderabad,Verandah-The Park Hyderabad,Snacks,550,4,50,Raj Bhavan Road,58
